"Name","DisplayName"
"windows.immersivecontrolpanel","設定"
"Microsoft.NET.Native.Framework.1.6","Microsoft .Net Native Framework Package 1.6"
"Microsoft.NET.Native.Framework.1.6","Microsoft .Net Native Framework Package 1.6"
"Microsoft.NET.Native.Runtime.1.6","Microsoft .Net Native Runtime Package 1.6"
"Microsoft.NET.Native.Runtime.1.6","Microsoft .Net Native Runtime Package 1.6"
"Microsoft.VCLibs.140.00","Microsoft Visual C++ 2015 UWP Runtime Package"
"Microsoft.NET.Native.Framework.1.7","Microsoft .Net Native Framework Package 1.7"
"Microsoft.NET.Native.Framework.1.7","Microsoft .Net Native Framework Package 1.7"
"Microsoft.NET.Native.Runtime.1.7","Microsoft .Net Native Runtime Package 1.7"
"Microsoft.NET.Native.Runtime.1.7","Microsoft .Net Native Runtime Package 1.7"
"Microsoft.Advertising.Xaml","Microsoft Advertising SDK for XAML"
"Microsoft.XboxSpeechToTextOverlay","Xbox Game Speech Window"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft Visual C++ 2015 UWP Desktop Runtime Package"
"Microsoft.Print3D","Print 3D"
"828B5831.HiddenCityMysteryofShadows","Hidden City: アイテム探しアドベンチャー"
"Microsoft.VCLibs.120.00","Microsoft Visual C++ Runtime Package"
"Microsoft.VCLibs.120.00","Microsoft Visual C++ Runtime Package"
"A278AB0D.MarchofEmpires","マーチ オブ エンパイア - 領土戦争"
"89006A2E.AutodeskSketchBook","SketchBook"
"DolbyLaboratories.DolbyAccess","Dolby Access"
"Microsoft.BingNews","ニュース"
"king.com.BubbleWitch3Saga","バブルウィッチ3"
"king.com.CandyCrushSodaSaga","Candy Crush Soda Saga"
"Microsoft.LanguageExperiencePackja-jp","日本語 ローカル エクスペリエンス パック"
"Microsoft.AAD.BrokerPlugin","職場または学校アカウント"
"Microsoft.BioEnrollment","Windows Hello セットアップ"
"Microsoft.Windows.CloudExperienceHost","Microsoft アカウント"
"Microsoft.Windows.OOBENetworkCaptivePortal","キャプティブ ポータル フロー"
"Microsoft.Windows.OOBENetworkConnectionFlow","ネットワーク接続フロー"
"Microsoft.Windows.StartMenuExperienceHost","スタート"
"Microsoft.Windows.ShellExperienceHost","Windows シェル エクスペリエンス ホスト"
"Microsoft.Windows.Search","検索"
"Microsoft.549981C3F5F10","Cortana"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft Visual C++ 2015 UWP Desktop Runtime Package"
"Microsoft.NET.Native.Framework.2.2","Microsoft .Net Native Framework Package 2.2"
"Microsoft.NET.Native.Runtime.2.2","Microsoft .Net Native Runtime Package 2.2"
"Microsoft.MicrosoftEdge","Microsoft Edge"
"Microsoft.Windows.ContentDeliveryManager","Microsoft Content"
"MicrosoftWindows.Client.CBS","DesktopPackageMetadata, Microsoft Text Input Application, 画面の領域の切り取り"
"Microsoft.VCLibs.140.00","Microsoft Visual C++ 2015 UWP Runtime Package"
"Microsoft.Windows.Photos","フォト"
"Microsoft.UI.Xaml.2.0","Microsoft.UI.Xaml.2.0"
"Microsoft.DesktopAppInstaller","アプリ インストーラー"
"microsoft.windowscommunicationsapps","メール, カレンダー, メール/カレンダー アカウント"
"Microsoft.WindowsCamera","カメラ"
"Microsoft.WindowsStore","Microsoft Store"
"Microsoft.Advertising.Xaml","Microsoft Advertising SDK for XAML"
"Microsoft.XboxIdentityProvider","Xbox Identity Provider"
"MicrosoftWindows.UndockedDevKit","UDK Package"
"Microsoft.Windows.AssignedAccessLockApp","割り当てられたアクセス ロックアプリ"
"Microsoft.Windows.SecureAssessmentBrowser","テスト"
"Microsoft.Windows.XGpuEjectDialog","デバイスの安全な取り外し"
"Windows.PrintDialog","PrintDialog"
"Windows.CBSPreview","Windows Barcode Preview"
"NcsiUwpApp","NcsiUwpApp"
"Microsoft.XboxGameCallableUI","Xbox Game UI"
"Microsoft.Windows.SecHealthUI","Windows セキュリティ"
"Microsoft.Win32WebViewHost","デスクトップ アプリ Web ビューアー"
"Microsoft.Windows.CallingShellApp","通話"
"Microsoft.Windows.NarratorQuickStart","ナレーター"
"Microsoft.Windows.Apprep.ChxApp","Windows Defender SmartScreen"
"Microsoft.Windows.ParentalControls","Microsoft ファミリ機能"
"Microsoft.Windows.PinningConfirmationDialog","PinningConfirmationDialog"
"Microsoft.Windows.PeopleExperienceHost","Windows マイ連絡先"
"1527c705-839a-4832-9118-54d4Bd6a0c89",""
"Microsoft.Windows.CapturePicker","CapturePicker"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","エクスプローラー"
"E2A4F912-2574-4A75-9BB0-0D023378592B","アプリ リゾルバー"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","フォルダー追加提案ダイアログ"
"Microsoft.AccountsControl","メールとアカウント"
"Microsoft.AsyncTextService","AsyncTextService"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft Edge DevTools クライアント"
"Microsoft.LockApp","Windows の既定のロック画面"
"Microsoft.ECApp","視線制御"
"Microsoft.CredDialogHost","資格情報ダイアログ"
"Microsoft.WindowsAlarms","アラーム & クロック"
"Microsoft.SkypeApp","Skype"
"Microsoft.ZuneVideo","映画 & テレビ"
"Microsoft.ZuneMusic","Groove ミュージック"
"Microsoft.YourPhone","スマホ同期アプリ"
"Microsoft.XboxGamingOverlay","Xbox Game Bar"
"Microsoft.XboxGameOverlay","Xbox Game bar"
"Microsoft.XboxApp","Xbox"
"Microsoft.Xbox.TCUI","Xbox Live"
"Microsoft.WindowsSoundRecorder","ボイス レコーダー"
"Microsoft.WindowsMaps","マップ"
"Microsoft.WindowsFeedbackHub","フィードバック Hub"
"Microsoft.WindowsCalculator","電卓"
"Microsoft.WebpImageExtension","Webp 画像拡張機能"
"Microsoft.WebMediaExtensions","Web メディア拡張機能"
"Microsoft.Wallet","Microsoft Pay"
"Microsoft.VP9VideoExtensions","VP9 ビデオ拡張機能"
"Microsoft.StorePurchaseApp","Microsoft Store エクスペリエンス ホスト"
"Microsoft.ScreenSketch","切り取り & スケッチ"
"Microsoft.People","People"
"Microsoft.Office.OneNote","OneNote"
"Microsoft.MSPaint","ペイント 3D"
"Microsoft.MixedReality.Portal","Mixed Reality ポータル"
"Microsoft.MicrosoftStickyNotes","Sticky Notes"
"Microsoft.Services.Store.Engagement","Microsoft Engagement Framework"
"Microsoft.Services.Store.Engagement","Microsoft Engagement Framework"
"Microsoft.MicrosoftSolitaireCollection","Microsoft Solitaire Collection"
"Microsoft.MicrosoftOfficeHub","Office, LocalBridge"
"Microsoft.Microsoft3DViewer","3D ビューアー"
"Microsoft.HEIFImageExtension","HEIF 画像拡張機能"
"Microsoft.Getstarted","ヒント"
"Microsoft.GetHelp","問い合わせ"
"Microsoft.BingWeather","天気"
